tir,vpn,vpn_ajuste
0.308955215,268780735.6,268.7807356
0.24358148,274401652.1,274.4016521
0.295618875,274293189,274.293189
0.260706626,275707863.1,275.7078631
0.26460414,270292523.5,270.2925235
0.40107507,274394685.8,274.3946858
0.427322758,273068497.6,273.0684976
0.201586715,276611934.8,276.6119348
0.222174894,271576390.7,271.5763907
0.162237928,276835521.1,276.8355211
0.405661303,276393526.6,276.3935266
0.383450958,276917537.9,276.9175379
0.373452026,274409481.2,274.4094812
0.160612122,279827664.5,279.8276645
0.268048162,274155707.7,274.1557077
0.513472757,276843405.7,276.8434057
0.261094371,273730906.7,273.7309067
0.220310219,270857893.7,270.8578937
0.234899065,275087226,275.087226
0.111919134,276242212.3,276.2422123
0.248700625,277903430.7,277.9034307
0.092564042,276104488.3,276.1044883
0.223228719,270933093.5,270.9330935
0.164474977,275154172.8,275.1541728
0.39771788,278085580.9,278.0855809
0.263401506,272696375.3,272.6963753
0.242088964,272729998.8,272.7299988
0.630333009,273755940.6,273.7559406
0.307962988,272455672.1,272.4556721
0.349003776,277784749.3,277.7847493
0.408740174,277081308.7,277.0813087
0.249262159,273955072.2,273.9550722
0.433599843,275693101.2,275.6931012
0.380604163,273829743.8,273.8297438
0.292026412,268988588.2,268.9885882
0.329931305,272626222.1,272.6262221
0.31524246,283013079.3,283.0130793
0.269149684,273846891.6,273.8468916
0.263939835,271299471,271.299471
0.310886579,279049102,279.049102
0.314437757,275334204.3,275.3342043
0.32831048,270828136.2,270.8281362
0.257092932,277659626,277.659626
0.289144674,272155010.4,272.1550104
0.065412481,274845179.5,274.8451795
0.350217522,270381051.4,270.3810514
0.344574057,277592841.5,277.5928415
0.170659287,268533122.3,268.5331223
0.395399633,276332789.3,276.3327893
0.296366662,276239122,276.239122
0.306377319,270667385.3,270.6673853
0.333674338,270547277.9,270.5472779
0.324894264,275327982.6,275.3279826
0.180100719,273509925.4,273.5099254
0.325379832,274196485.9,274.1964859
0.221772417,270899465.6,270.8994656
0.170785964,275187834,275.187834
0.199644183,272834912.5,272.8349125
